Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.032894737,0.00039009,1.14E-04,0,0,1,1,0.003243744,1
0,0,0.040789474,0.004045045,2.32E-05,0,0,1,1,0.001390176,1
1,0,0.142105263,0.011621622,1.93E-04,0,0,0,1,0.001390176,1
0.133333333,0,0.240789474,0.048507087,0.00139791,1,1,1,1,0.158016682,1
0.1875,0,0.018421053,0.002603604,1.84E-05,0,0,0,1,0.000463392,1
0.181818182,0,0.001315789,0,2.43E-07,0,0,0,1,0,1
0,0,0.003947368,0.000503604,2.51E-06,0,0,0,1,0.004170528,1
1,0,0.184210526,0.006918919,2.96E-04,0,0,0,1,0.003243744,1
0,0,0.013157895,0.000779279,1.54E-05,0,0,0,1,0.00463392,1
0,0,0.161842105,0.046967267,0.001792148,0,0,1,1,0.010658017,1
0,0,0.005263158,0,4.80E-05,0,0,0,1,0.002780352,1
0,0,0.125,0.036576577,2.89E-04,1,0,0,1,0.001390176,1
0.153846154,0,0.114473684,0.014926276,0.001376899,1,0,1,1,0.040778499,1
0.4625,0,0.313157895,0.045832728,0.002146402,1,0,1,1,0.003707136,1
0,0,0.022368421,0.000445946,9.04E-05,0,0,0,1,0.010658017,1
0,0,0.017105263,9.73E-06,1.79E-05,0,0,0,1,0.000463392,1
1,0,0.068421053,0.011981982,2.48E-04,1,0,1,1,0.004170528,1
0,0,0.113157895,0.020540541,8.77E-04,1,0,1,1,0.006024096,1
0,0,0.331578947,0.077853931,0.001098397,1,0,1,1,0.000463392,1
0,0,0.126315789,0.039408441,0.00126523,1,0,1,1,0.005560704,1
0,0,0.011842105,0.000511712,1.26E-04,0,0,0,1,0.000926784,1
0,0,0.175,0.029621456,0.001291071,0,0,1,1,0.013438369,1
0.5,0,0.161842105,0.021081081,5.70E-04,1,1,1,1,0.007414272,1
0,0,0.003947368,0,4.93E-06,0,0,0,1,0.000463392,1
0,0,0.001315789,0,6.78E-07,0,0,0,1,0.000463392,1
